WORD	Ancestralii	Not
alpha-1	0	3
-nucleotidase	0	3
phage	0	3
s14p	0	3
hsc66	0	3
phosphoesterase	0	2
murj	0	2
essc	0	2
secretion	0	2
ubif	0	2
helix-turn-helix	0	2
shape	0	2
phosphoenolpyruvate-dependent	0	2
attenuator	0	2
cleavage	0	2
hydrogenase	0	2
kdotransferase	0	2
lptde	0	2
phosphoribosylglycinamide	0	2
quinol	0	2
adenylation	0	2
8-dihydropteroate	0	2
s20e	0	2
metalloprotein	0	2
subfamily	0	2
substrate	0	2
d-inositol-3-phosphate	0	2
class-iii	0	2
tagatose	0	2
metal-binding	0	2
intracellular	0	2
ctc-form	0	2
dahp	0	2
glucosyltransferase	0	2
galu	0	2
bisphosphate	0	2
ubih	0	2
tpr-repeat	0	2
guanosine	0	2
lptc	0	2
antitoxin	0	2
determining	0	2
class-v	0	2
s10p	0	2
domains	0	2
rimn	0	2
uvrd	0	2
isopentenyl	0	2
lptd	0	2
-diphospho	0	2
transferases	0	2
segregation	0	2
s29e	0	2
3-deoxy-d-manno-octulosonic	0	2
purn	0	2
methyl	0	2
biotin-requiring	0	2
prophage	0	2
8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	0	2
sec63	0	2
lptc-related	0	2
pyrophosphohydrolases	0	2
o-antigen	0	2
ghmp	0	2
pcrf	0	2
dehydrogenases	0	2
zinc-binding	0	2
glucose	0	2
bccp	0	2
aminoethylphosphonate	0	2
specific	0	2
visc	0	2
kinases	0	2
ribonucleases	0	2
gcpe	0	2
hydantoin	0	2
osta	0	2
class-ii	0	2
phob	0	2
duf258	0	2
glycogen	0	2
transfer	0	2
epitopes	0	2
xanthosine	0	2
contains	0	2
phosphosugar	0	2
duf493	0	2
synthesizing	0	2
lysrs	0	2
hppk	0	2
3-methyladenine	0	2
ybed	0	2
band	0	2
2-thiouridine	0	2
tigr00043	0	2
dependent	0	2
phospholipase	0	2
mvin-like	0	2
patch	0	2
fimbrial	0	2
adenine-specific	0	2
active	0	2
2-amino-4-hydroxy-6-	0	2
dutpase	0	2
algu	0	2
hemd	0	2
phosphorylation	0	2
catabolism	0	2
nucleotidase	0	2
gram-negative	0	2
rpb1	0	2
cdp-diacylglycerol--serine	0	2
glycosylase	0	2
isoleucine	0	2
deoxycytidylate	0	2
phosphatidyltransferase	0	2
like	0	2
trypsin	0	2
coq6	0	2
group	0	2
pyrophosphohydrolase	0	2
phor	0	2
cdp-alcohol	0	2
ribosome-releasing	0	2
site-specific	0	2
u34-trna	0	2
formyl	0	2
choline	0	2
2-amino-4-hydroxy-6-hydroxymethyldihydropteridi	0	2
negative	0	2
2-n-acetylglucosaminetransferase	0	2
lysine	0	2
holc	0	2
two-component	0	2
beta-hydroxyacyl-	0	2
phosphoriboisomerase	0	2
helicases	0	2
pep-cterm	0	2
dutp	0	2
consists	0	2
endoribonuclease	0	2
-2-c-methyl-d-erythritol	0	2
calcineurin-like	0	2
pterin	0	2
phosphocholine	0	2
cytoplasmic	0	2
hydroxymethyldihydropteridine	0	2
n-formylmethionyl-trna	0	2
found	0	2
liga	0	2
higa	0	2
luxr	0	2
iron-sulphur	0	2
2-oxoacid	0	2
folate-dependent	0	2
apoprotein	0	2
aminomutase	0	1
03760	0	1
05429	0	1
04426	0	1
02359	0	1
co-endoribonuclease	0	1
inactivation	0	1
03962	0	1
00414	0	1
faba	0	1
bound	0	1
zipper	0	1
00454	0	1
02510	0	1
03567	0	1
ftsj	0	1
03609	0	1
00071	0	1
03320	0	1
thiamine-phosphate	0	1
00616	0	1
toxin-antitoxin	0	1
00029	0	1
ribonucleasee	0	1
leucine	0	1
ycfb	0	1
03152	0	1
00942	0	1
02306	0	1
-triphosphatenucleotidohydrolase	0	1
sorting	0	1
02148	0	1
adp-heptose--lps-heptosyltransferase	0	1
00055	0	1
02831	0	1
00883	0	1
02483	0	1
02527	0	1
01316	0	1
n-formyltransferase	0	1
01821	0	1
00058	0	1
04470	0	1
glutamine-dependent	0	1
03815	0	1
deoxyuridinetriphosphatase	0	1
step	0	1
02074	0	1
00005	0	1
01337	0	1
02351	0	1
03409	0	1
cleaved	0	1
-hydroxymyristoyl-acp	0	1
00015	0	1
00627	0	1
00889	0	1
spanning	0	1
n-acetylserine-responsive	0	1
im-tethered	0	1
rfad	0	1
01711	0	1
csra	0	1
02536	0	1
04493	0	1
01344	0	1
02381	0	1
05458	0	1
phophatidylserine	0	1
02535	0	1
autopeptidases	0	1
05505	0	1
00866	0	1
3-demethylubiquinone	0	1
reca-mediated	0	1
d-glucose-specific	0	1
s16p	0	1
04346	0	1
03557	0	1
03115	0	1
00827	0	1
02720	0	1
protoporphyrin	0	1
00875	0	1
2-thiolation	0	1
fmet	0	1
phosphopantethiene--protein	0	1
rsea	0	1
chromsomes	0	1
l33p	0	1
2-octaprenyl-6-hydroxyphenolmethylase	0	1
02387	0	1
00615	0	1
asprs	0	1
kdops	0	1
00817	0	1
01311	0	1
positive	0	1
03611	0	1
fabz	0	1
02640	0	1
02711	0	1
02567	0	1
00968	0	1
gsa-at	0	1
00963	0	1
s15p	0	1
02036	0	1
03614	0	1
00903	0	1
adp-forming	0	1
d-sedoheptulose	0	1
01836	0	1
3-deoxy-d-manno-octulosonic-acidtransferase	0	1
s20p	0	1
2-amino-4-hydroxy-6-hydroxymethyldihyropteridin	0	1
01345	0	1
hisrs	0	1
02512	0	1
00182	0	1
00899	0	1
autorepressor	0	1
cdp-diacylglycerol-glycerol-3-phosphate3-phosphatidyltransferase	0	1
degrading	0	1
01550	0	1
ubig	0	1
beta-hydroxydecanoyl	0	1
hsp40	0	1
prib	0	1
lyss	0	1
02073	0	1
pleiotropic	0	1
00153	0	1
degradosome	0	1
bif-1	0	1
00581	0	1
energy	0	1
04291	0	1
nadp-dependent	0	1
dhhb	0	1
thiamin-monophosphate	0	1
argrs	0	1
04438	0	1
00600	0	1
03179	0	1
arginine	0	1
03483	0	1
plumbagin	0	1
-diphosphatase	0	1
05452	0	1
isph	0	1
01012	0	1
integrity	0	1
01164	0	1
4fe-4s	0	1
thioester	0	1
03403	0	1
01816	0	1
01014	0	1
transducing	0	1
00412	0	1
04281	0	1
multicopy	0	1
02576	0	1
quality	0	1
00325	0	1
dna-dependent	0	1
04434	0	1
histidine	0	1
01633	0	1
03467	0	1
03126	0	1
00054	0	1
03105	0	1
01133	0	1
glutamine-hydrolysing	0	1
working	0	1
01831	0	1
actin-like	0	1
hth-type	0	1
02530	0	1
10-formyltetrahydrofolate	0	1
igaa-like	0	1
00074	0	1
cardiolipin	0	1
00608	0	1
mata	0	1
03821	0	1
00601	0	1
ecfe	0	1
plp-dependent	0	1
04273	0	1
00025	0	1
mal0117	0	1
01746	0	1
03129	0	1
cdp-diacylglycerol--serineo-phosphatidyltransferase	0	1
repressors	0	1
exoribonuclease	0	1
04251	0	1
poly	0	1
oxygenase	0	1
2-dehydro-3-deoxyphosphooctulonate	0	1
4-diphosphocytidyl-2-c-methylerythritol	0	1
02531	0	1
4-diphosphocytidyl-2c-methyl-d-erythritolkinase	0	1
l-methionyl-trna	0	1
transcriptiona	0	1
mal3050	0	1
03175	0	1
00989	0	1
04431	0	1
02146	0	1
03176	0	1
first	0	1
fe2+	0	1
01146	0	1
03938	0	1
biotin--	0	1
ssrna-specific	0	1
00625	0	1
00898	0	1
upf0250	0	1
00859	0	1
00605	0	1
00880	0	1
00949	0	1
00947	0	1
beta-barrel	0	1
s21p	0	1
02424	0	1
03180	0	1
01775	0	1
ribonucleoside	0	1
3-hydroxydecanoyl-acp	0	1
envc-interacting	0	1
fimbriae	0	1
antitoxinof	0	1
higb-higa	0	1
04486	0	1
source	0	1
s01b	0	1
energization	0	1
03937	0	1
dihydrolipoyltranssuccinase	0	1
01132	0	1
head	0	1
00885	0	1
tonb-exbb-exbd	0	1
daughter	0	1
03560	0	1
dnak-like	0	1
brf-2	0	1
05331	0	1
01707	0	1
myristoyl-acyl	0	1
threonine-dependent	0	1
histidyl	0	1
envelope	0	1
3-deoxy-7-phosphoheptulonate	0	1
l29p	0	1
glnb	0	1
04494	0	1
00614	0	1
SUM	14002	9018
